# This file contains all x86 operations in the following format
# operation_name, test/ignore, min_operands, max_operands
# Legend:
#   operation_name = The name of the operation. (add)
#   test/ignore = "test" to generate tests for this operation
#                 "ignore" to not load this operation into the Test Generator
#   min_operands = The minimum number of operands for this operation
#   max_operands = The maximum number of operands for this operation
aaa, test, 0, 3
aad, test, 0, 3
aam, test, 0, 3
adc, test, 0, 3
add, test, 0, 3
addpd, test, 0, 3
addps, test, 0, 3
addsd, test, 0, 3
addss, test, 0, 3
aasubpd, test, 0, 3
addsubps, test, 0, 3
and, test, 0, 3
andpd, test, 0, 3
andps, test, 0, 3
andnpd, test, 0, 3
andnps, test, 0, 3
arpl, test, 0, 3
blendpd, test, 0, 3
blendps, test, 0, 3
blendvpd, test, 0, 3
blendvps, test, 0, 3
bound, test, 0, 3
bsf, test, 0, 3
bsr, test, 0, 3
bswap, test, 0, 3
bt, test, 0, 3
btc, test, 0, 3
btr, test, 0, 3
bts, test, 0, 3
call, ignore, 0, 3
cbw, test, 0, 3
cwde, test, 0, 3
cdqe, test, 0, 3
clc, test, 0, 3
cld, test, 0, 3
clflush, test, 0, 3
cli, test, 0, 3
clts, test, 0, 3
cmc, test, 0, 3
cmova, test, 0, 3
cmovae, test, 0, 3
cmovb, test, 0, 3
cmovbe, test, 0, 3
cmovc, test, 0, 3
cmove, test, 0, 3
cmovg, test, 0, 3
cmovge, test, 0, 3
cmovl, test, 0, 3
cmovle, test, 0, 3
cmovna, test, 0, 3
cmovnae, test, 0, 3
cmovnb, test, 0, 3
cmovnbe, test, 0, 3
cmovnc, test, 0, 3
cmovne, test, 0, 3
cmovng, test, 0, 3
cmovnl, test, 0, 3
cmovnle, test, 0, 3
cmovno, test, 0, 3
cmovnp, test, 0, 3
cmovns, test, 0, 3
cmovnz, test, 0, 3
cmovo, test, 0, 3
cmovp, test, 0, 3
cmovpe, test, 0, 3
cmovpo, test, 0, 3
cmovs, test, 0, 3
cmovz, test, 0, 3
cmp, test, 0, 3
cmppd, test, 0, 3
cmpps, test, 0, 3
cmps, test, 0, 3
cmpsb, test, 0, 3
cmpsw, test, 0, 3
cmpsd, test, 0, 3
cmpsq, test, 0, 3
cmpss, test, 0, 3
cmpxchg, test, 0, 3
cmpxchg8b, test, 0, 3
cmpxchg16b, test, 0, 3
comisd, test, 0, 3
comiss, test, 0, 3
cpuid, test, 0, 3
crc32, test, 0, 3
